序号,代码,名称,最新价(元) 2026.07.03,涨跌幅(%) 2026.07.03,收盘价(日线不复权)(元) 2026.07.03,涨跌额(元) 2026.07.03,最高价(元) 2026.07.03,最低价(元) 2026.07.03,换手率(%) 2026.07.03,量比 2026.07.03,成交量(股) 2026.07.03,成交额(元) 2026.07.03,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,总市值(元) 2026.07.03,流通市值(元) 2026.07.03
22,688017,绿的谐波,488.00,18.15,488.00,74.950,495.66,416.20,14.70,1.55,2694.31万,125.29亿,685.36,25.0685,894.65亿,894.65亿
23,688630,芯碁微装,480.32,2.63,480.32,12.320,502.00,444.55,4.14,0.92,545.87万,26.36亿,160.17,29.8472,694.44亿,632.78亿
24,601869,长飞光纤,475.08,2.31,475.08,10.710,492.00,455.00,3.07,0.93,1246.71万,59.29亿,198.59,27.6365,3933.21亿,1930.43亿
25,603061,金海通,472.73,0.43,472.73,2.030,489.10,440.00,4.79,1.15,416.89万,19.32亿,124.63,24.4069,411.28亿,411.28亿
26,688200,华峰测控,464.00,3.11,464.00,14.000,480.68,421.07,4.02,1.28,806.90万,36.55亿,246.97,23.0961,930.67亿,930.67亿
27,002916,深南电路,454.48,7.42,454.48,31.380,465.41,415.00,2.65,1.36,1764.42万,79.51亿,91.03,18.8128,3095.77亿,3021.43亿
28,688027,国盾量子,448.20,-0.28,448.20,-1.260,459.99,447.45,2.68,0.76,215.46万,9.76亿,-606.18,14.2976,461.02亿,360.24亿
29,688525,佰维存储,427.91,2.18,427.91,9.110,446.88,401.00,7.89,0.98,3722.50万,158.99亿,17.40,23.9159,2017.88亿,2017.88亿
30,688012,中微公司,413.69,1.17,413.69,4.790,428.68,392.00,3.59,0.91,3381.23万,138.07亿,105.89,15.1442,3941.16亿,3897.77亿
31,688048,长光华芯,410.60,-4.29,410.60,-18.400,441.01,400.88,6.04,0.71,1065.18万,44.89亿,4039.42,24.0173,723.81亿,723.81亿
32,688635,长进光子,397.00,0.38,397.00,1.500,408.00,387.58,8.73,0.60,154.93万,6.20亿,467.49,24.8532,371.87亿,70.49亿
33,688025,杰普特,395.00,2.10,395.00,8.120,412.98,378.18,4.16,0.85,395.60万,15.70亿,96.09,16.1833,375.45亿,375.45亿
34,300750,宁德时代,380.00,-0.61,380.00,-2.350,387.95,379.00,0.61,0.67,2588.49万,99.11亿,21.19,5.3795,1.76万亿,1.62万亿
35,688785,恒运昌,376.15,-2.93,376.15,-11.350,393.12,370.00,5.68,0.60,72.34万,2.76亿,362.09,11.6930,254.66亿,47.88亿
36,688519,南亚新材,371.22,5.16,371.22,18.220,384.53,332.10,3.46,1.11,812.92万,29.63亿,145.38,31.0034,873.04亿,873.04亿
37,688082,盛美上海,363.43,-1.78,363.43,-6.570,378.00,352.00,2.12,0.98,1010.72万,36.90亿,420.44,12.7458,1753.90亿,1735.06亿
38,301629,矽电股份,360.69,-11.38,360.69,-46.310,401.99,360.00,11.97,0.89,229.68万,8.72亿,-361.83,12.8417,150.51亿,69.24亿
39,603444,吉比特,358.02,-1.91,358.02,-6.960,368.96,356.00,2.62,0.70,188.44万,6.78亿,12.46,4.6867,257.92亿,257.92亿
40,688807,优迅股份,357.80,-4.65,357.80,-17.430,377.97,353.00,8.32,0.90,133.10万,4.86亿,269.28,16.1787,286.24亿,57.25亿
41,688037,芯源微,355.12,-1.36,355.12,-4.880,370.00,339.24,4.92,0.93,991.15万,35.29亿,5101.47,25.5637,716.02亿,716.02亿
42,301200,大族数控,343.00,-1.61,343.00,-5.600,363.63,336.41,0.73,0.69,309.98万,10.79亿,129.85,15.1852,1677.30亿,1458.57亿
43,688361,中科飞测,342.00,-3.93,342.00,-14.000,358.74,331.11,4.53,1.19,1585.03万,54.42亿,-440.52,23.6090,1197.56亿,1197.56亿
44,688506,百利天恒,340.00,1.34,340.00,4.500,349.00,314.00,1.07,1.17,441.91万,14.67亿,-45.31,24.8732,1403.77亿,1403.77亿
45,300666,江丰电子,332.19,-3.00,332.19,-10.280,351.00,320.88,9.40,0.78,2079.57万,69.48亿,109.27,13.1217,916.75亿,734.52亿
46,688536,思瑞浦,332.12,-0.56,332.12,-1.880,347.14,323.71,2.96,0.68,401.86万,13.49亿,108.77,7.2330,458.58亿,450.52亿
47,688146,中船特气,330.14,-9.55,330.14,-34.860,369.91,319.30,8.99,0.76,1302.86万,44.72亿,431.40,30.3227,1747.80亿,478.61亿
48,688041,海光信息,325.40,0.96,325.40,3.110,337.39,317.03,1.25,0.70,2908.54万,95.07亿,275.20,32.6721,7563.40亿,7563.40亿
